==== START logs for container coredns of pod kube-system/coredns-6d4b75cb6d-hg62f ====
[INFO] plugin/ready: Still waiting on: "kubernetes"
.:53
[INFO] plugin/reload: Running configuration MD5 = db32ca3650231d74073ff4cf814959a7
CoreDNS-1.8.6
linux/amd64, go1.17.1, 13a9191
[INFO] Reloading
[INFO] plugin/health: Going into lameduck mode for 5s
[INFO] plugin/reload: Running configuration MD5 = bc01953dbef007fb87b1d2d15ca53ab8
[INFO] Reloading complete
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:59646->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:59818->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:59816->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:59896->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:60020->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:60200->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:60456->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:60696->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:32794->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:34016->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:34624->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:37232->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:37502->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:38098->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:38914->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:39260->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:39258->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:39792->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:39790->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:41260->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:41262->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:42552->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:42850->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:43494->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 archive.ubuntu.com. AAAA: read tcp 10.244.0.2:43182->172.18.0.1:53: i/o timeout
